Papier / Concept,Notes en Français (Originales),Traduction en Anglais
Deepseek v3,"MoE : shared expert et gating avec un sigmoid(vecteur×layer de classification d’expert) et softmax pour l'activation des experts du top k (donc en gros leur impact est sommé avec un poids) les 3 premières couches ne sont pas MoE. [cite: 318]Par contre une limite de 4 nodes max par token (mais 8 experts)[cite: 318]. Ajout d'un biais dans le calcul de la décision des experts pour équilibrer les experts en training[cite: 318]. Multi latent attention : on stocke le KV cache dans un vecteur latent commun beaucoup plus petit qu'on découpe en k et v avec une couche linéaire chacun, ça réduit de beaucoup le cache - 512 vs 2×7168 (61 layers)[cite: 318]. Multi token prediction : par token qu'on veut prédire en multiple on concat la sortie du modèle à l'embedding on fait passer dans un transformer et on prédit le token. [cite: 319]On stack ça de façon itérative pour k token avec une loss sur le i-ème token par simple block. [cite: 320]Ça permet le Spéculative decoding mais aussi de sensibiliser le modèle à penser beaucoup plus loin. [cite: 321]En mode normal on enlève juste ces couches et le modèle s'utilise normalement [cite: 321]","MoE: shared expert and gating with a sigmoid(vector×expert classification layer) and softmax for activation of the top k experts (so basically their impact is summed with a weight), the first 3 layers are not MoE. [cite: 318]However, a limit of 4 max nodes per token (but 8 experts)[cite: 318]. Addition of a bias in the expert decision calculation to balance experts during training[cite: 318]. Multi latent attention: the KV cache is stored in a much smaller common latent vector, which is split into k and v with a linear layer each, which greatly reduces the cache - 512 vs 2×7168 (61 layers)[cite: 318]. Multi token prediction: for multiple tokens we want to predict, we concatenate the model output to the embedding, pass it through a transformer, and predict the token. [cite: 319]This is stacked iteratively for k tokens with a loss on the i-th token per simple block. [cite: 320]This allows for Speculative decoding but also sensitizes the model to think much further ahead. [cite: 321]In normal mode, these layers are just removed, and the model is used normally [cite: 321]"
Olmo 2,"pre Training, mid Training (phase d'annealing répétées sur des petits set de domain specific amélioré beaucoup) pas mal de travail sur les weight decay (enlever l'embedding de ça améliore) sur les spike loss (RMS juste après l'attention et avant le résiduel est mieux que LN sur la sortie) Z norm, no bias, KVQ norm. [cite: 322]Model souping est bien[cite: 322]. Tulu3 pour post Training. SFT avec environ 1M prompt, DPO avec un pool de 20 models open et GPT-4o qui fait le juge pour noter les préférences puis select la meilleure comme w et sample une des autres pour l. [cite: 323] (On et off car dans les 20 il y a des checkpointing Olmo). [cite: 324]Ils donnent tous les paramètres de PPO [cite: 324]","Pre-training, mid-training (repeated annealing phase on small domain-specific sets greatly improved) a lot of work on weight decay (removing the embedding from it improves) on spike loss (RMS right after attention and before the residual is better than LN on the output) Z norm, no bias, KVQ norm. [cite: 322]Model souping is good[cite: 322]. Tulu3 for post-training. SFT with around 1M prompts, DPO with a pool of 20 open models and GPT-4o acting as the judge to rate preferences, then select the best as w and sample one of the others as l. [cite: 323] (On and off because Olmo checkpoints are in the 20). [cite: 324]They give all PPO parameters [cite: 324]"
Smaller Weaker yet better,"à budget égal, il vaut mieux avoir plus de samples quand on fait du sampling sur la réponse d'un plus petit modèle que plus d'un gros modèle (coverage et diversité) [cite: 324]","for the same budget, it is better to have more samples when sampling from the response of a smaller model than more from a larger model (coverage and diversity) [cite: 324]"
Model 7b et prm rstar math,"un petit modèle génère des steps de solution avec MCTS et donc q value avec un PPM (il est entraîné sur des préférences basées sur ses q values plutôt que sur un label - on sample pour une même étape la plus positive et la plus négative plutôt que tout classer et Bradley Terry [cite: 325] pour la loss). Tout le training est en self improve de la policy et critique (PPM) en 4 rounds ça bat O1 en maths. [cite: 325] Les q value sont initialisées avec un terminal guided annotation. Ablation sur ORM, PRM avec q value et PPM. [cite: 326]PPM est meilleur. [cite: 327]","a small model generates solution steps with MCTS and therefore q value with a PPM (it is trained on preferences based on its q values rather than on a label - for the same step, we sample the most positive and most negative rather than classifying everything and Bradley Terry [cite: 325] for the loss). The entire training is a self-improvement of the policy and critic (PPM); in 4 rounds it beats O1 in math. [cite: 325] The q values are initialized with a terminal guided annotation. Ablation on ORM, PRM with q value, and PPM. [cite: 326]PPM is better. [cite: 327]"
Reinforce ++,GRPO avec pénalité KL sur le reward (le reward est la KL avec l'ajout du reward sur le dernier token) [cite: 327],GRPO with KL penalty on the reward (the reward is the KL with the addition of the reward on the last token) [cite: 327]
Kalm,"travail sur la data, clearing des false negative, hard negative mining, mean pooling et train sur 512 mais RoPE donc long [cite: 327]","work on the data, clearing false negatives, hard negative mining, mean pooling, and train on 512 but RoPE so long context [cite: 327]"
TabPFN,,
Qwen prm,"combinaison de Monte Carlo et LLM as judge pour sélectionner parmi n samples d'une step. [cite: 328]Évaluer sur best of n force le ORM donc Process Bench est mieux. [cite: 328]Monte Carlo: we position ourselves at step t and predict k responses from there up to the final answer. [cite: 329]The MC value is the proportion of correct answers among the generated responses, so the power of this step to generate a good response [cite: 330]","combination of Monte Carlo and LLM as judge to select among n samples of a step. [cite: 328]Evaluating on best of n forces ORM so Process Bench is better. [cite: 328]Monte Carlo: we position ourselves at step t and predict k responses from there up to the final answer. [cite: 329]The MC value is the proportion of correct answers among the generated responses, so the power of this step to generate a good response [cite: 330]"
Lightning attention,"7 layers sur 8 = la combinaison permet un super retrieval, un long contexte et une rapidité quasi linéaire [cite: 330]","7 layers out of 8 = the combination allows for excellent retrieval, long context, and almost linear speed [cite: 330]"
Deepseek r1 zero,"pas de SFT, GRPO direct sur base model avec accuracy reward math et code et format reward sur le thinking. Pas de PRM. [cite: 331]En pur RL, le modèle tend naturellement vers des réponses plus longues et réfléchies, révision et réévaluation se fait naturellement [cite: 332]","no SFT, GRPO direct on base model with math and code accuracy reward and format reward on thinking. No PRM. [cite: 331]In pure RL, the model naturally tends towards longer and more thoughtful responses, revision and re-evaluation happen naturally [cite: 332]"
Deepseek r1 avec cold start,"short SFT avec COT, RL sur clear solution (math, code,...)+ lang consistency reward, puis SFT sur des données générales avec rejection sampling avec v3 + v3 dataset pour non reasoning data + final RL classic de v3. [cite: 333]Distillation en pur SFT ??? [cite: 334]Distiller d'un gros est mieux que de faire la pipeline complète [cite: 334]","short SFT with COT, RL on clear solution (math, code,...)+ lang consistency reward, then SFT on general data with rejection sampling with v3 + v3 dataset for non-reasoning data + final classic RL of v3. [cite: 333]Distillation in pure SFT ??? [cite: 334]Distilling from a large model is better than doing the complete pipeline [cite: 334]"
Kimi paper 16p (Multimodal Reasoning),multimodal reasoning model avec RL simple type Reinforce avec moyenne des rewards sur base model et FT COT. [cite: 335]Graduation en difficulté et RM qui compare la réponse à la ground truth pour donner un scalar [cite: 335],multimodal reasoning model with simple RL like Reinforce with average rewards on base model and FT COT. [cite: 335]Graduation in difficulty and RM that compares the response to the ground truth to give a scalar [cite: 335]
Qwen moe balancing 9p,faire le LBL (Layer-wise Balancing Loss) au niveau du batch complet plutôt que post data parallel (donc au niveau proche de la séquence) permet d'équilibrer les experts beaucoup mieux et de les spécialiser fortement [cite: 335],doing the LBL (Layer-wise Balancing Loss) at the full batch level rather than post data parallel (so close to the sequence level) allows for much better expert balancing and strong specialization [cite: 335]
Bytedance agent 27p (Agent GUI),"agent GUI avec une approche data driven (+ouverture sur le RL FT suite à d'autres interactions à venir pour s'améliorer) vs design driven (prompt c'est trop chiant et trop peu sûr, frameworks trop prompts à l'erreur et peu fiables en prod). [cite: 336]Lien RPA, agent framework, native agent et lifeline agent plus tard. [cite: 337]Pas mal de tâches pour apprendre au modèle à cliquer (coordonnées) décrire et localiser, capter les changements et les milestone. [cite: 338] Technique de agent DPO : on garde les traces fausses et la trace successful pour DPO le modèle sur ça - online DPO. Ces data sont online [cite: 338]","GUI agent with a data-driven approach (+openness to RL FT following other future interactions to improve) vs design-driven (prompting is too annoying and too unreliable, frameworks too prone to error and unreliable in prod). [cite: 336]Link RPA, agent framework, native agent, and lifeline agent later. [cite: 337]Quite a few tasks to teach the model to click (coordinates) describe and localize, capture changes and milestones. [cite: 338] Agent DPO technique: we keep the false traces and the successful trace to DPO the model on this - online DPO. This data is online [cite: 338]"
Large action model,lu en diagonale / plan et task mais plutôt orienté GUI. [cite: 339]Un LLM vraiment tuné uniquement sur de l'action [cite: 339],skimmed / plan and task but rather GUI-oriented. [cite: 339]An LLM really tuned only on action [cite: 339]
Rl deepmind muzero,"RL à partir d'observation d'un jeu (genre x parties et Z observer) un modèle qui n'a pas les règles et qui fait juste un hidden state. [cite: 340]3 têtes - hidden state, policy, value et reward[cite: 340]. Utilisation avec MCTS et nombre de visite d'une node comme proba [cite: 340]","RL from game observations (e.g., x games and Z observed) a model that doesn't have the rules and just creates a hidden state. [cite: 340]3 heads - hidden state, policy, value, and reward[cite: 340]. Use with MCTS and number of node visits as probability [cite: 340]"
Qwen 2.5 max,"pretraining fill in the middle, position et word retrieval, paragraph reordering 5 training phases pour s'étendre petit à petit[cite: 340]. DCA (remap relative pos avec intra, inter et successive) et Yarn pour faire ×4[cite: 341]. Pour le prefilling Minference : on sélectionne seulement les token qui ont une attention avec les derniers token pour compute leur attention, grosse réduction. [cite: 341]On fait ça par chunk aussi (donc plusieurs lots de derniers) [cite: 341]","pretraining fill-in-the-middle, position and word retrieval, paragraph reordering 5 training phases to gradually extend[cite: 340]. DCA (remap relative pos with intra, inter and successive) and Yarn to do ×4[cite: 341]. For prefilling Minference: only tokens that have attention with the last tokens are selected to compute their attention, big reduction. [cite: 341]This is also done by chunk (so multiple batches of last ones) [cite: 341]"
Critique fine tuning,"plutôt que d'apprendre au modèle à imiter des réponses, on lui apprend à critiquer des réponses et donc à les comprendre [cite: 342]","rather than teaching the model to imitate responses, we teach it to critique responses and thus understand them [cite: 342]"
Sft memorize rl generalize,SFT a tendance à ne pas performer sur de l'OOD mais est nécessaire pour formater la réponse et donner une bonne base au RL qui lui après permet de généraliser à des tâches de language ou de vision [cite: 342],"SFT tends not to perform on OOD but is necessary to format the response and give a good base to RL, which then allows generalization to language or vision tasks [cite: 342]"
Janus pro paper,"plus gros modèle, plus de data et focus sur meilleure qualité [cite: 342]","bigger model, more data and focus on better quality [cite: 342]"
Janus et Vq tokenizer,"encoder décoder CNN qui réduit la dimension de l'image et amène dans un codebo(c'est une quantization du vecteur de feature dans un dictionnaire de tokens, on map le feature sur l'indice du token le plus proche). [cite: 343]On entraîne sur une loss qui a l'erreur de reconstruction et l'erreur de représentation du feature avec le vecteur quantizé. [cite: 343]Ensuite en mode autoreg il y a un MLP pour adapter le codeboà l'embedding et une prediction head sur le vocabulaire texte et une sur le vocabulaire image (codebook) [cite: 344]","CNN encoder-decoder that reduces the image dimension and leads into a codebo(it's a quantization of the feature vector into a dictionary of tokens, we map the feature to the index of the closest token). [cite: 343]Training is done on a loss that has the reconstruction error and the feature representation error with the quantized vector. [cite: 343]Then in autoregressive mode, there is an MLP to adapt the codeboto the embedding and one prediction head on the text vocabulary and one on the image vocabulary (codebook) [cite: 344]"
Joint embedding,"pas de contrastive loss mais L2 loss dans l'espace embedding. [cite: 345] Génération dans l'espace d'embedding. Embedding pour target et input en ViT, predictor en ViT [cite: 345]","no contrastive loss but L2 loss in the embedding space. [cite: 345] Generation in the embedding space. Embedding for target and input in ViT, predictor in ViT [cite: 345]"
On teacher hacking,"le fait de passer par un proxy teacher peut faire du hacking, on se rapproche du teacher mais s'éloigne de la réalité. [cite: 345]Il faut privilégier le online distillation, la diversité des prompts et si offline sampler plus de réponses. [cite: 346]LoRA colpali reranker avec un mini Qwen [cite: 347]","passing through a proxy teacher can lead to hacking; we get closer to the teacher but move away from reality. [cite: 345]Online distillation, prompt diversity, and if offline, sample more responses should be favored. [cite: 346]LoRA Colpali reranker with a mini Qwen [cite: 347]"
Scaling up test time compute with latent reasoning,"l'idée est de penser dans l'espace latent avec une récurrence sur le depth au lieu du temps. [cite: 347]Le modèle est composé de 3 blocs de couches transfo : prélude qui construit l'embedding, coda qui décode le dernier espace latent en tokens et un bloc récurrent qui prend un bruit blanc et l'embedding puis les espaces latents et l'embedding avec le nombre de récurrences variables. [cite: 348]Ça vient de la theory de deep thinking et le fait que dans les LLM la première et dernière couches sont très différents mais au milieu c'est échangeable[cite: 349]. Ils utilisent un adapter qui combine via concaténation et réduction l'espace latent et l'embedding dans un seul espace[cite: 349]. Travail sur le nombre de récurrence en train sample sur du poisson et sur la backprop qui doit être indep de r (donc backprop que sur les k dernières récurrences mais comme l'embedding est toujours concat, même si k alors le prélude est toujours backprop)[cite: 349]. Ils ont étudié le fait de partager le KV cache en early stopping [cite: 350]et de mettre un KV cache de taille définie en partageant avec un modulo sur le cache. [cite: 351]On peut aussi COT en prenant le bruit blanc à partir du dernier hidden state du dernier token[cite: 351]. On peut aussi Speculative decoding avec moins de steps et vérifier sur le batch avec plus de steps [cite: 351]","the idea is to think in the latent space with a recurrence on depth instead of time. [cite: 347]The model is composed of 3 blocks of transformer layers: prelude which builds the embedding, coda which decodes the last latent space into tokens, and a recurrent block which takes white noise and the embedding then the latent spaces and the embedding with a variable number of recurrences. [cite: 348]This comes from the theory of deep thinking and the fact that in LLMs the first and last layers are very different but the middle is interchangeable[cite: 349]. They use an adapter that combines via concatenation and reduction the latent space and the embedding into a single space[cite: 349]. Work on the number of recurrences in training sample on Poisson distribution and on backprop that must be independent of r (so backprop only on the last k recurrences but since the embedding is always concatenated, even if k, the prelude is still backprop)[cite: 349]. They studied sharing the KV cache with early stopping [cite: 350]and setting a fixed size KV cache by sharing with a modulo on the cache. [cite: 351]We can also do COT by taking white noise from the last hidden state of the last token[cite: 351]. We can also do Speculative decoding with fewer steps and verify on the batch with more steps [cite: 351]"
On the émergence of thinking in llm,thinking = search et stratégie. [cite: 351]COT amélioré le thinking et donc le reasoning et plus la réponse est longue meilleure est la réponse. [cite: 352]SFT sur du thinking et PPO avec 2 rewards : outcome vérifiable et thinking reward (un truc sur la longueur de la réponse et un LLM as a judge) [cite: 353],"thinking = search and strategy. [cite: 351]COT improves thinking and thus reasoning and the longer the response, the better the response. [cite: 352]SFT on thinking and PPO with 2 rewards: verifiable outcome and thinking reward (something about the length of the response and an LLM as a judge) [cite: 353]"
Infinitehip,prune les tokens pour k et v pour diminuer la taille et adaptation du RoPE [cite: 353],prunes tokens for k and v to reduce size and adapts RoPE [cite: 353]
Adaptative graph of thought,"11p d'âge decomposition récursivité et graph, passer plus de temps sur des sous-tâches complexes. [cite: 353]Alternative à COT et TOT [cite: 354]","11-page age decomposition recursion and graph, spending more time on complex sub-tasks. [cite: 353]Alternative to COT and TOT [cite: 354]"
Large diffusion model (Text),"8p transformer bidirectionnel entraîné comme un LLM sauf que l'idée est de masquer tous les mots et de démasquer petit à petit (diffusion) avec un remasquage sur les low confidence pour corriger et une prediction de la longueur de la réponse au début. [cite: 354]Pretraining tout token avec une proba masque, SFT token réponse avec une proba masque masquée, inférence prédit la taille + full mask et remasquage [cite: 355]","8-page bidirectional transformer trained like an LLM except the idea is to mask all words and gradually unmask (diffusion) with remasking on low confidence to correct and a prediction of the response length at the start. [cite: 354]Pretraining all tokens with a mask probability, SFT response tokens with a masked mask probability, inference predicts size + full mask and remasking [cite: 355]"
Deepseek nsa (Sparse Attention),16p sparse trained attention avec 3 composants qui sont combinés via un poids calculé par un MLP et softmax suite à leur calcul d'attention : [cite: 355]Compression : on découpe en blocs et on compresse avec un MLP. [cite: 355]Token sélection : on prend les tokens des top n blocs avec le plus gros softmax. [cite: 356]Sliding window [cite: 356],16-page sparse trained attention with 3 components that are combined via a weight calculated by an MLP and softmax following their attention calculation: [cite: 355]Compression: we cut into blocks and compress with an MLP. [cite: 355]Token selection: we take the tokens of the top n blocks with the largest softmax. [cite: 356]Sliding window [cite: 356]
Mixture of Block attention for long context,10p [cite: 356],10 pages [cite: 356]
Siglip v2,"10p Training avec une logistic loss, une dense loss qui est en fait un décoder qui classifie des régions et captions et une distillation loss sur du MLM et du EMA (en gros on montre un bout de l'image au student et l'image entière au teacher, on fait MLM avec ça aussi) plutôt que contrastive (donc ça en fait une tâche de classif pour la première) map head pour le pooling [cite: 356]","10-page training with a logistic loss, a dense loss that is actually a decoder which classifies regions and captions and a distillation loss on MLM and EMA (basically, we show a part of the image to the student and the whole image to the teacher, we do MLM with this too) rather than contrastive (so the first one is a classification task) map head for pooling [cite: 356]"
Swe rl grpo,"clone un gros paquet de repo avec PR, prend en compte le status avant le merge et après et les discussions, filtre les PR vides, avec trop de changements et [cite: 357]ajouté les files pas changés mais utiles pour la PR. [cite: 357]GRPO avec −1 sur le format et entre 0 et 1 par un séquence matcher sur le résultat officiel de la PR[cite: 358]. C'est mieux d'avoir un reward continu que discret (−1 ou 1). [cite: 359]Le RL garde bien le reasoning OOD[cite: 359]. Ça utilise agentless mini qui sépare les tâches en des tâches simples donc c'est limitant ça ça ne gère pas tout d'un coup [cite: 359]","clones a large number of repos with PRs, takes into account the status before and after the merge and discussions, filters empty PRs, PRs with too many changes, and [cite: 357]added files not changed but useful for the PR. [cite: 357]GRPO with −1 on the format and between 0 and 1 via a sequence matcher on the official PR result[cite: 358]. It is better to have a continuous reward than a discrete one (−1 or 1). [cite: 359]RL maintains good OOD reasoning[cite: 359]. It uses agentless mini which separates tasks into simple tasks, so this is limiting as it doesn't manage everything at once [cite: 359]"
Algorithme GRPO,À chaque itération principale on prend le modèle comme init[cite: 360]. Ensuite on fait un nombre de steps en fonction du nombre de batch. [cite: 360]Pour chaque batch le dernier modèle devient le old puis on compute le reward pour chaque output et l'advantage pour le batch. [cite: 361]Ensuite on fait des itérations de GRPO pour améliorer les paramètres et on change de batch (donc de old) sur tout le set (on peut faire plusieurs itérations en changeant de réf) [cite: 361],"At each main iteration we take the model as init[cite: 360]. Then we do a number of steps based on the number of batches. [cite: 360]For each batch, the last model becomes the old one, then we compute the reward for each output and the advantage for the batch. [cite: 361]Then we do GRPO iterations to improve the parameters and we change batch (and thus old model) on the whole set (we can do several iterations by changing ref) [cite: 361]"
Self gauche reasoner tools alibaba (STAR),quand QWQ utilise des tools python il est bien meilleur mais il ne suit pas l'instruction. [cite: 361] Donc ils ont fait STAR en 3 étapes. Insérer des hints d'utilisation de python sur les mots clés de réflexion et changement de direction. [cite: 362] Rejection sampling pour créer une première version avec les hints qui marchent bien. Rejection sampling sans hint pour faire STAR. [cite: 363]Grosse hausse de perf. [cite: 364],when QWQ uses Python tools it is much better but it doesn't follow instructions. [cite: 361] So they did STAR in 3 steps. Insert hints for Python usage on reflection and direction change keywords. [cite: 362] Rejection sampling to create a first version with hints that work well. Rejection sampling without hints to do STAR. [cite: 363]Big performance increase. [cite: 364]
Gemma 3,"multi modal, local et global 5:1, ablations sur ça, le scale du RoPE, la taille du teacher pour distiller (si plus de token gros c'est mieux) [cite: 364]","multi-modal, local and global 5:1, ablations on this, the RoPE scale, the teacher size for distillation (if more large tokens it's better) [cite: 364]"
Meta renforcement fine tuning (Cumulative Regret),l'idée est d'entraîner et de juger sur du cumulative regret. [cite: 365]En gros on découpe le truc en épisode et on check si cet épisode nous approche de la réponse que ce soit en exploitation ou exploration il y a un meta prover LLM qui établit une réponse à partir de ce qu'on a déjà fait comme épisode. [cite: 365]En plus on est capable d'analyser des LLM avec cette métrique et trouver que plus de budget et plus long COT ne fait pas forcément de meilleures réponses en full outcome reward. [cite: 366]En plus ici le reward est dense [cite: 367],"the idea is to train and judge on cumulative regret. [cite: 365]Basically, we cut the thing into episodes and check if this episode brings us closer to the answer, whether in exploitation or exploration, there is a meta prover LLM which establishes a response based on what has already been done as an episode. [cite: 365]In addition, we are able to analyze LLMs with this metric and find that more budget and longer COT do not necessarily lead to better answers with full outcome reward. [cite: 366]Moreover, here the reward is dense [cite: 367]"
Dapo,"GRPO sauf qu'on exclut la KL divergence, on met un clip high et low différent (pour les petites probas), on moyenne sur le nombre de token après la somme sur le batch pour pas pénaliser les longues réponses et on choisit que les réponses qui n'ont pas 0 ou 1 d'accuracy (dynamic sampling) [cite: 367]","GRPO except that KL divergence is excluded, different high and low clips are set (for small probabilities), we average over the number of tokens after summing over the batch so as not to penalize long responses, and only responses that don't have 0 or 1 accuracy are selected (dynamic sampling) [cite: 367]"
Why do multi agent fails,"taxonomie sur les fails des multi agents systèmes orientés autour de poor specification, inter agent miss alignment et task verification failure[cite: 367]. Pipeline LLM as a judge sur ça [cite: 368]","taxonomy on multi-agent system failures focused on poor specification, inter-agent misalignment, and task verification failure[cite: 367]. LLM as a judge pipeline on this [cite: 368]"
Qwen omni,"thinker (LLM) et talker (transformer audio), tmRoPE qui est un RoPE 3D, un pas de RoPE est un mot ou 40ms d'audio ou vidéo et height et width. [cite: 368]Si vidéo avec audio c'est 2 secondes d'audio puis une image. [cite: 369]Talker reçoit direct le token mais aussi l'embedding de sortie même de thinker pour prévoir mieux le ton et la suite mais dire le bon mot [cite: 370]","thinker (LLM) and talker (audio transformer), tmRoPE which is a 3D RoPE, one RoPE step is one word or 40ms of audio or video and height and width. [cite: 368]If video with audio, it's 2 seconds of audio then an image. [cite: 369]Talker receives the token directly but also the output embedding even from thinker to better predict the tone and the continuation but say the right word [cite: 370]"
Metamorphe vipt meta,prediction de token image sur espace continu qui est l'espace embedding du ViT encoder avec cosine loss avec une tête vision spécifique déclenchée par un token image begin. [cite: 370] Puis diffusion avec une cross attention sur les token image plutôt que text. Super perf en reason. [cite: 371]Finding que VLM généralise bien à la génération d'image [cite: 372],image token prediction on continuous space which is the embedding space of the ViT encoder with cosine loss with a specific vision head triggered by an image begin token. [cite: 370] Then diffusion with cross-attention on image tokens rather than text. Great performance in reasoning. [cite: 371]Finding that VLM generalizes well to image generation [cite: 372]
Transformer without normalization (Dyt),la LN dans la plupart des transformers fait un truc linéaire par token ou channel de l'embedding mais en regardant en globalité ça fait de la non linéarité comme un tanh avec un param. [cite: 372] Donc Dyt remplace par ça. Ne marche pas bien hors transformers [cite: 373],LN in most transformers does something linear per token or embedding channel but looking globally it creates non-linearity like a tanh with a parameter. [cite: 372] So Dyt replaces it with that. Doesn't work well outside of transformers [cite: 373]
Rope (Principes),"l'objectif est purement d'avoir une position relation ici cos(i−j). [cite: 373]Ça se passe au niveau de la dimension des embedding et c'est fait pour chaque token sur q et k donc que dans le softmax. [cite: 374]La value reste sur la même espace. [cite: 375]Ensuite plus la fréquence est grande, moins on tourne vite, moins on est sensible proche (on reste bien pour les longs contextes). [cite: 375]On a aussi la position dans l'embedding qui joue et permet de capturer dans les premières dimensions les contextes plus proches et les dimensions grosses les contextes plus longs [cite: 376]","the objective is purely to have a positional relation here cos(i−j). [cite: 373]This happens at the level of the embedding dimension and is done for each token on q and k, so only in the softmax. [cite: 374]The value remains in the same space. [cite: 375]Then the higher the frequency, the slower we rotate, the less sensitive we are nearby (it remains good for long contexts). [cite: 375]We also have the position in the embedding that plays a role and allows to capture closer contexts in the first dimensions and longer contexts in the large dimensions [cite: 376]"
Proof or bluff,"modèle testé sur olympiade math et avec des humains en juge. [cite: 376]Finalement pas très bons pour manque de logique, assomption, créativité et algèbre. [cite: 377]LLM as a judge tend à surévaluer les performances. [cite: 378]","model tested on math olympiad and with humans as judges. [cite: 376]Finally not very good due to lack of logic, assumptions, creativity, and algebra. [cite: 377]LLM as a judge tends to overestimate performance. [cite: 378]"
Ui r1,"GRPO avec un reward en 3 parties : action, coordonnées du clic et format de la réponse (car thinking) permet de faire un meilleur modèle qu'un 7b 1m de data avec 3b 126 data [cite: 378]","GRPO with a reward in 3 parts: action, click coordinates, and response format (because of thinking) makes it possible to create a better model than a 7b 1m data model with 3b 126 data [cite: 378]"
Papier Claude cot reasoning model dont always say what they think,les COT cachent leur reasoning souvent et font du reward hack [cite: 378],COT often hide their reasoning and perform reward hacking [cite: 378]
Command a,"3:1 SWA et full NOPE, GQA SwiGLU. [cite: 379]No bias, merging de models entraînés sur 6 scores en SFT et idem en RL (RAG tool agent, multilingual, code, math et reasoning, long context, safety, IF) avec des dataset spécifiques pour chaque. [cite: 379]RL preference avec SRPO qui en gros entraîne 2 policy pour maximiser le reward tout en réduisant le reward gap entre les 2. RL VR COPG qui ressemble à RLOO. [cite: 380]Reward du code sur le passage des test en %, Warp merging et linear merging pour le code. [cite: 381]","3:1 SWA and full NOPE, GQA SwiGLU. [cite: 379]No bias, merging of models trained on 6 scores in SFT and same in RL (RAG tool agent, multilingual, code, math and reasoning, long context, safety, IF) with specific datasets for each. [cite: 379] RL preference with SRPO which basically trains 2 policies to maximize the reward while reducing the reward gap between the two. RL VR COPG which resembles RLOO. [cite: 380]Code reward on test passing in %, Warp merging and linear merging for code. [cite: 381]"
Deepseek généraliste reward modeling (GRM),"on apprend au GRM à générer des principes puis il score avec ça, c'est en self sur du reward et du sampling pour les principes. [cite: 382] Faire avec des principes filtrés ça marche très bien. Le papier explique aussi les différents types de rewards [cite: 383]",we teach the GRM to generate principles then it scores with them; this is done in self-supervision on reward and sampling for the principles. [cite: 382] Doing it with filtered principles works very well. The paper also explains the different types of rewards [cite: 383]
Synthétique data generation and multistep reasoning for tool Use (SWIRL),"Google, SWIRL step wise reinforcement learning. [cite: 383]On génère avec un LLM sous un format spécifique une action et un env réponse par step qui appelle et reçoit la réponse d'un outil. [cite: 384] A la fin on a la réponse. On filtre avec judge sur le process et outcome filtering. [cite: 385] Puis on s'en sert pour train. A l'inférence, on prompt et on répond à chaque appel de tools ce qui augmente de 10 à 20% sur les benchmarks un Gemma 27b [cite: 386]","Google, SWIRL step wise reinforcement learning. [cite: 383]We generate with an LLM under a specific format an action and an environment response per step that calls and receives the response from a tool. [cite: 384] At the end we have the answer. Filtering is done with a judge on the process and outcome filtering. [cite: 385] Then we use it for training. During inference, we prompt and respond to each tool call, which increases performance by 10 to 20% on benchmarks for a Gemma 27b [cite: 386]"
Retool,Chain of Thought avec code interprété dans la chaîne appris en RL avec un peu de SFT pour les token code et interpréter et du outcome reward. [cite: 386] PPO avec interpréteur caché. KV cache optimisé pour ne pas refaire tout le calcul. [cite: 387]Mixture of Block attention [cite: 388],Chain of Thought with code interpreted in the chain learned in RL with some SFT for the code and interpreter tokens and outcome reward. [cite: 386] PPO with hidden interpreter. Optimized KV cache to avoid redoing all the calculation. [cite: 387]Mixture of Block attention [cite: 388]
Phi 4 multimodal,"tied embedding, RoPE sur 75% des heads pour long contexte, LoRA pour les 2 modalités sur les couches linéaires [cite: 388]","tied embedding, RoPE on 75% of the heads for long context, LoRA for the 2 modalities on the linear layers [cite: 388]"
Tied embedidng,"en fait la matrice d'embedding qui est un lookup et la matrice de logit ou d'embedding qui est une couche dense sont de même dimensions mais on peut partager cette matrice en transposant car la couche dense est donc juste un dot product pour trouver le token le plus proche en distance (puis softmax). [cite: 389]Ça permet de réduire le nombre de paramètres, de faire de la régularisation (car l'input est lié à l'output) [cite: 389]","in fact the embedding matrix which is a lookup and the logit or embedding matrix which is a dense layer are of the same dimensions but this matrix can be shared by transposing because the dense layer is just a dot product to find the closest token in distance (then softmax). [cite: 389]This allows reducing the number of parameters, and regularization (because the input is linked to the output) [cite: 389]"
Deepseek prover,"COT avec V3 pour avoir les grandes parties d'une preuve, utilisation d'un prover 7b pour faire la preuve de chaque partie. [cite: 390]Training en SFT puis GRPO avec un mode preuve poussé ou un mode COT high level [cite: 390]","COT with V3 to get the main parts of a proof, using a 7b prover to make the proof for each part. [cite: 390]Training in SFT then GRPO with an advanced proof mode or a high-level COT mode [cite: 390]"
